Rank,Name,abbr,Team_name,%,Saves,Shots,MP
40,GHEDBANE Khalifa,ALG,Algeria,0.25,46,185,7
59,ZEMOUCHI Yahia,ALG,Algeria,0.19,20,108,7
52,MACIEL Leonel Carlos Sergio,ARG,Argentina,0.22,27,125,6
61,BAR Juan Manuel,ARG,Argentina,0.16,13,82,6
34,LETTENS Jef,BEL,Belgium,0.26,59,224,6
14,TERCARIOL Leonardo,BRA,Brazil,0.31,45,144,6
47,da ROSA Rangel,BRA,Brazil,0.23,21,93,6
26,ALI Mohamed,BRN,Bahrain,0.28,52,183,6
62,ISA Hesham,BRN,Bahrain,0.15,9,59,6
40,GARCIA FUENTES Felipe,CHI,Chile,0.25,37,151,7
52,OLIVA Rene,CHI,Chile,0.22,24,109,7
52,GONCALVES Edmilson,CPV,Cape Verde,0.22,37,170,6
59,ALMEIDA Luis,CPV,Cape Verde,0.19,10,53,6
10,SUNJIC Mate,CRO,Croatia,0.33,29,89,4
34,SLAVIC Dino,CRO,Croatia,0.26,20,76,4
52,KUZMANOVIC Dominik,CRO,Croatia,0.22,14,65,4
8,LANDIN JACOBSEN Niklas,DEN,Denmark,0.34,88,256,9
10,MOLLER Kevin,DEN,Denmark,0.33,27,81,9
7,HOMAYED Abdelrahman,EGY,Egypt,0.35,31,89,7
14,HENDAWY Karim,EGY,Egypt,0.31,64,209,8
14,PEREZ de VARGAS MORENO Gonzalo,ESP,Spain,0.31,73,232,9
34,CORRALES RODAL Rodrigo,ESP,Spain,0.26,28,109,9
2,DESBONNET Remi,FRA,France,0.38,36,95,9
22,GERARD Vincent,FRA,France,0.3,72,237,9
3,WOLFF Andreas,GER,Germany,0.37,112,305,9
34,SZEKELY Marton,HUN,Hungary,0.26,48,185,9
47,MIKLER Roland,HUN,Hungary,0.23,42,179,9
26,SIAVOSHISHAHENAYATI Mohammad,IRI,Iran,0.28,52,188,6
26,HALLGRIMSSON Viktor Gisli,ISL,Iceland,0.28,37,134,6
40,GUSTAVSSON Bjorgvin Pall,ISL,Iceland,0.25,27,109,6
26,LEE Changwoo,KOR,Korea,0.28,20,72,4
44,KIM Donguk,KOR,Korea,0.24,44,182,7
14,AL-SALEM Mohammad,KSA,Saudi Arabia,0.31,52,170,5
57,MOHAMMED Amro,KSA,Saudi Arabia,0.21,19,89,7
47,LAAROUSSI Alae,MAR,Morocco,0.23,23,102,7
52,OUAALI Jamal,MAR,Morocco,0.22,39,175,7
34,TOMOVSKI Martin,MKD,North Macedonia,0.26,35,137,7
44,MITREVSKI Nikola,MKD,North Macedonia,0.24,35,144,7
24,SIMIC Nebojsa,MNE,Montenegro,0.29,56,194,6
40,MATOVIC Nikola,MNE,Montenegro,0.25,14,55,6
22,RAVENSBERGEN Bart,NED,Netherlands,0.3,63,207,6
3,BERGERUD Torbjorn,NOR,Norway,0.37,81,220,9
14,SAEVERAS Kristian,NOR,Norway,0.31,40,130,9
3,KORNECKI Mateusz,POL,Poland,0.37,30,82,3
26,MORAWSKI Adam,POL,Poland,0.28,29,104,6
10,FERREIRA Miguel,POR,Portugal,0.33,51,154,6
14,GASPAR Manuel,POR,Portugal,0.31,19,62,6
31,SULJAKOVIC Anadin,QAT,Qatar,0.27,13,48,4
47,LEPENICA Bilal,QAT,Qatar,0.23,34,147,6
8,LESJAK Urban,SLO,Slovenia,0.34,50,146,6
24,BAZNIK Joze,SLO,Slovenia,0.29,20,68,6
14,MILOSAVLJEV Dejan,SRB,Serbia,0.31,34,108,4
47,CUPARA Vladimir,SRB,Serbia,0.23,20,87,6
1,THULIN Tobias,SWE,Sweden,0.39,39,100,7
6,PALICKA Andreas,SWE,Sweden,0.36,72,202,7
10,NAMLI Asil,TUN,Tunisia,0.33,34,104,6
14,HARBAOUI Mehdi Sadri,TUN,Tunisia,0.31,23,75,4
44,BELKAIED Yassine,TUN,Tunisia,0.24,20,85,4
31,NAVARRETE GAMBINO Luis Felipe,URU,Uruguay,0.27,42,155,7
57,GONZALEZ ALLOZA Felipe Alfonso,URU,Uruguay,0.21,33,158,7
31,ROBINSON Nicolas Aaron,USA,United States of America,0.27,18,67,3
34,MERKOVSZKY Pal,USA,United States of America,0.26,31,118,6
