Team,Team_name,MP,Total Shots G / S,Total Shots%,6m Shots G / S,6m Shots %,Wing Shots G / S,Wing Shots %,9m Shots G / S,9m Shots %,7m Shots G / S,7m Shots %,Fast Breaks G / S,Fast Breaks %,Breakthroughs G / S,Breakthroughs %,Empty Goal G / S,Empty Goal %,Offence AS,Offence TF,Defence ST,Defence BS,Penalties YC,Penalties 2Min,Penalties RC,Penalties BC
ALG,Algeria,7,183/327,56,59/113,52,20/41,49,40/90,44,14/19,74,34/43,79,13/17,76,4-Mar,75,69,87,7,12,3,23,2,
ARG,Argentina,6,142/254,56,31/78,40,31/45,69,13/46,28,16/20,80,21/29,72,28/32,88,4-Feb,50,74,77,25,11,3,22,,
BEL,Belgium,6,163/282,58,58/104,56,39/63,62,22/56,39,15-Sep,60,25/28,89,14-Aug,57,2-Feb,100,94,56,14,9,2,22,1,
BRA,Brazil,6,173/295,59,47/90,52,32/46,70,30/79,38,18/21,86,14/17,82,25/26,96,15-Jun,40,109,59,8,7,5,19,,
BRN,Bahrain,6,164/277,59,67/117,57,17/28,61,18/51,35,15/23,65,17/21,81,25/28,89,4-May,125,72,60,16,3,1,19,,
CHI,Chile,7,202/319,63,83/143,58,27/47,57,17/36,47,25/33,76,29/32,91,13/15,87,13-Aug,62,91,69,13,12,6,21,1,
CPV,Cape Verde,6,171/296,58,89/156,57,9-Jul,78,24/69,35,15/19,79,14/17,82,22/24,92,0/2,0,81,75,12,6,,28,1,
CRO,Croatia,6,207/282,73,65/88,74,26/37,70,41/72,57,16/19,84,33/36,92,19/23,83,7-Jul,100,112,52,34,10,7,27,,
DEN,Denmark,9,308/424,73,80/119,67,43/57,75,71/106,67,21/31,68,50/60,83,38/45,84,5-May,100,169,60,38,24,5,25,,
EGY,Egypt,9,272/428,64,79/124,64,35/53,66,65/132,49,18/25,72,30/38,79,40/49,82,7-May,71,120,84,44,22,4,18,1,
ESP,Spain,9,280/442,63,106/156,68,31/46,67,50/122,41,23/35,66,34/41,83,19/24,79,16/17,94,138,78,40,23,4,31,,
FRA,France,9,301/455,66,104/157,66,30/44,68,48/112,43,35/43,81,46/57,81,25/27,93,13/15,87,141,69,46,21,2,27,,
GER,Germany,9,291/424,69,114/165,69,41/57,72,51/100,51,24/26,92,24/30,80,32/40,80,6-May,83,168,96,24,19,5,24,2,
HUN,Hungary,9,266/451,59,104/167,62,29/51,57,52/128,41,26/39,67,19/26,73,30/32,94,8-Jun,75,151,90,13,14,7,38,4,
IRI,Iran,6,150/272,55,50/91,55,19/27,70,42/102,41,16-Dec,75,12-Oct,83,15/21,71,3-Feb,67,70,77,11,1,5,30,1,
ISL,Iceland,6,207/290,71,72/114,63,29/44,66,18/26,69,23/24,96,33/41,80,17/25,68,15/16,94,137,44,13,9,5,23,,
KOR,Korea,7,206/331,62,85/143,59,22/38,58,18/36,50,23/31,74,34/51,67,14-Oct,71,16-Dec,75,90,83,15,5,7,29,2,1
KSA,Saudi Arabia,7,172/306,56,77/151,51,22/33,67,16/40,40,21/27,78,24/30,80,15-Jul,47,10-May,50,65,94,11,3,7,26,4,
MAR,Morocco,7,178/313,57,66/108,61,18/42,43,28/75,37,15/22,68,26/35,74,21/26,81,5-Apr,80,70,91,14,3,6,26,1,
MKD,North Macedonia,7,221/329,67,81/113,72,14/34,41,23/60,38,21/24,88,48/59,81,21/24,88,13/15,87,81,86,17,5,7,23,,
MNE,Montenegro,6,161/275,59,52/80,65,19/29,66,24/74,32,16/25,64,24/36,67,22/26,85,5-Apr,80,78,70,23,12,3,23,1,
NED,Netherlands,6,177/270,66,53/82,65,37/62,60,29-Oct,34,15/21,71,24/32,75,27/33,82,11-Nov,100,91,66,28,9,5,28,1,
NOR,Norway,9,278/422,66,87/130,67,43/66,65,47/101,47,17/27,63,41/49,84,35/41,85,8-Aug,100,149,80,30,16,3,22,,
POL,Poland,6,150/250,60,40/64,63,14/26,54,31/73,42,21/31,68,16/25,64,23/26,88,5-May,100,56,53,25,11,3,21,2,
POR,Portugal,6,178/281,63,76/136,56,23/35,66,Dec-34,35,18/24,75,21/22,95,16/17,94,13-Dec,92,121,46,10,9,4,21,2,
QAT,Qatar,6,149/260,57,50/92,54,22/28,79,31/80,39,20/23,87,9-Jun,67,19/26,73,2-Jan,50,80,65,17,3,3,22,1,
SLO,Slovenia,6,191/264,72,56/82,68,27/36,75,18/40,45,26/31,84,32/38,84,24/28,86,9-Aug,89,81,62,18,17,3,27,,
SRB,Serbia,6,191/270,71,71/104,68,26/37,70,42/69,61,21/23,91,18/21,86,13-Oct,77,3-Mar,100,107,50,14,15,3,23,3,
SWE,Sweden,9,299/434,69,103/157,66,40/56,71,34/71,48,21/31,68,43/53,81,47/55,85,11-Nov,100,184,66,23,13,4,25,1,
TUN,Tunisia,7,208/331,63,85/132,64,26/43,60,26/60,43,17/20,85,34/47,72,20/23,87,3-Jan,33,91,80,14,11,8,29,3,
URU,Uruguay,7,175/346,51,75/166,45,18/30,60,23/64,36,20/25,80,22-Dec,55,20/31,65,8-Jul,88,61,107,8,8,4,21,,
USA,United States of America,6,141/266,53,44/79,56,15/25,60,35/93,38,13-Jul,54,26/36,72,18-Dec,67,2-Feb,100,63,92,20,7,2,21,,2
