,player_name,team_name,assists,matches_played
0,Juri KNORR,Germany,52,9
1,Sander SAGOSEN,Norway,49,9
2,Mathias GIDSEL,Denmark,42,9
3,Nedim REMILI,France,40,9
4,Gísli Þorgeir Kristjánsson,Iceland,39,6
5,Alex DUJSHEBAEV DOVICHEBAEVA,Spain,37,9
6,Jim GOTTFRIDSSON,Sweden,37,7
7,Mikkel HANSEN,Denmark,36,9
8,Luka Cindric,Croatia,33,6
9,Felix CLAAR,Sweden,32,9
10,Yehia ELDERAA,Egypt,32,9
11,Eric JOHANSSON,Sweden,32,9
12,Máté Lékai,Hungary,32,9
13,Rui Silva,Portugal,32,6
14,Rodrigo Salinas,Chile,31,7
15,Luc Steins,Netherlands,31,6
16,Egon HANUSZ,Hungary,29,9
17,Ian Hueter,United States of America,29,6
18,Filip Kuzmanovski,North Macedonia,29,7
19,Simon Bogetoft PYTLICK,Denmark,29,9
20,Mohamed Mohamed ,Bahrain,28,6
21,Ivan Martinović,Croatia,27,6
22,Gustavo RODRIGUES,Brazil,27,6
23,Albin LAGERGREN,Sweden,24,8
24,Miloš ORBOVIĆ,Serbia,24,6
25,Kay Smits,Netherlands,24,6
26,Julian Köster,Germany,23,9
27,Fábio Magalhães,Portugal,23,6
28,Zoltán SZITA,Hungary,23,9
29,Bozo ANDJELIC,Montenegro,22,6
30,abdi ayyoub,Algeria,22,7
31,Agustin CASADO MARCELO,Spain,22,8
32,DANIEL DUJSHEBAEV DOVICHEBAEVA,Spain,22,9
33,Amine HARCHAOUI,Morocco,22,7
34,Igor Karačić,Croatia,22,6
35,Ahmed MOHAMED,Egypt,22,9
36,Dani Baijens,Netherlands,21,6
37,JEONGU KANG,Korea,21,7
38,Ali MOHAMED,Egypt,21,9
39,Harald REINKIND,Norway,21,9
40,Leandro SEMEDO,Cape Verde,21,6
41,Husain Alsayyad,Bahrain,19,6
42,Mohamed Amine BENTALEB,Morocco,19,7
43,Jonathan CARLSBOGÅRD,Sweden,19,9
44,Francisco Costa,Portugal,19,6
45,POUYA NOROUZINEZHAD GHAREHLOU,Islamic Republic of Iran,19,5
46,Janus Daði SMÁRASON,Iceland,19,6
47,Richárd Bodó,Hungary,18,9
48,Stefan DODIĆ,Serbia,18,6
49,Kentin MAHE,France,18,9
50,Abdelrahman Tarek ABDALLA,Qatar,18,6
51,Emil Feuchtmann,Chile,17,7
52,Moustafa HEIBA,Qatar,17,6
53,Zoran ILIC,Hungary,17,9
54,Ómar Ingi Magnússon,Iceland,17,5
55,zohir naim,Algeria,17,7
56,Christian O`SULLIVAN,Norway,17,9
57,João Pedro SILVA,Brazil,17,6
58,Magnus ABELVIK RØD,Norway,16,9
59,Joan CAÑELLAS REIXACH,Spain,16,8
60,MOHAMED AMINE DARMOUL,Tunisia,16,7
61,Kai HÄFNER,Germany,16,9
62,Lazar KUKIĆ,Serbia,16,6
63,HYEONSIK LEE,Korea,16,6
64,Mohsen MAHMOUD,Egypt,16,9
65,Rok Ovnicek,Slovenia,16,6
66,Elohim PRANDI,France,16,9
67,Tom Robyns,Belgium,16,6
68,Jeroen De Beule,Belgium,15,6
69,Erwin FEUCHTMANN,Chile,15,7
70,Branko VUJOVIC,Montenegro,15,6
71,Gøran JOHANNESSEN,Norway,14,9
72,Hugo Bryan Monta da Silva,Brazil,14,6
73,Aleks VLAH,Slovenia,14,6
74,Luca Witzke,Germany,14,9
75,Edmilson Araújo,Cape Verde,13,6
76,Dean Bombac,Slovenia,13,5
77,André Gomes,Portugal,13,6
78,Viggó Kristjánsson,Iceland,13,6
79,Bruno LANDIM,Cape Verde,13,6
80,MOHAMMADREZA ORAEI,Islamic Republic of Iran,13,6
81,Pablo Ariel SIMONET,Argentina,13,6
82,MAHDI AL-SALEM,Saudi Arabia,12,7
83,SADIQ ALMOHSIN,Saudi Arabia,12,7
84,Nikola KARABATIC,France,12,7
85,NOUREDDINE MAOUA,Tunisia,12,7
86,Arber QERIMI,Belgium,12,6
87,Martin Serafimov,North Macedonia,12,7
88,BILEL ABDELLI,Tunisia,11,7
89,ANOUAR BEN ABDALLAH,Tunisia,11,7
90,Aaron CODINA,Chile,11,7
91,Petar ĐORĐIĆ,Serbia,11,6
92,Ludovic FABREGAS,France,11,9
93,Piotr Jędraszczyk,Poland,11,6
94,YOSEB LEE,Korea,11,5
95,Pedro MARTINEZ CAMI,Argentina,11,6
96,Mads MENSAH LARSEN,Denmark,11,9
97,AFSHIN SADEGHI ASKARI,Islamic Republic of Iran,11,5
98,Lukas SANDELL,Sweden,11,8
99,Diego Esteban SIMONET,Argentina,11,6
100,FIlip Taleski,North Macedonia,11,7
101, Maximo Esteban Cancio Casas,Uruguay,10,7
102,Johannes GOLLA,Germany,10,9
103,TAEHUN JO,Korea,10,7
104,Miguel Martins,Portugal,10,6
105,Diego Morandeira,Uruguay,10,7
106,Aron PÁLMARSSON,Iceland,10,4
107,Federico PIZARRO,Argentina,10,5
108,Ebrahim SHEBL EBAID,Qatar,10,6
109,Pablo VAINSTEIN,Argentina,10,6
