,player_name,team_name,total,average,matches_played
0,Ibrahim ELMASRY,Egypt,15,1.7,9
1,Blaz BLAGOTINSEK,Slovenia,12,2.0,6
2,Gedeon GUARDIOLA VILLAPLANA,Spain,9,1.0,9
3,Vuk LAZOVIC,Montenegro,9,1.5,6
4,Julian Köster,Germany,7,0.8,9
5,Mijajlo MARSENIĆ,Serbia,7,1.2,6
6,Magnus SAUGSTRUP Jensen,Denmark,7,0.9,8
7,Maciej Gębala,Poland,6,1.0,6
8,Simon HALD Jensen,Denmark,6,0.7,9
9,Željko MUSA,Croatia,6,1.0,6
10,Quinten Colman,Belgium,5,0.8,6
11,Johannes GOLLA,Germany,5,0.6,9
12,Ilija ABUTOVIĆ,Serbia,4,0.7,6
13,Arnar Freyr Arnarsson,Iceland,4,0.7,6
14,Bence Bánhidi,Hungary,4,0.4,9
15,Samir Benghanem,Netherlands,4,0.7,6
16,Alexis Borges,Portugal,4,0.7,6
17,Jonathan CARLSBOGÅRD,Sweden,4,0.4,9
18,Gabriel Chaparro Almada,Uruguay,4,0.6,7
19,Victor DONOSO,Chile,4,0.6,7
20,Javier FRELIJJ,Chile,4,0.6,7
21,Luka KARABATIC,France,4,0.6,7
22,Patrik Ligetvári,Hungary,4,0.4,9
23,Jorge MAQUEDA PEÑO,Spain,4,0.4,9
24,Miguel SÁNCHEZ MIGALLÓN NARANJO,Spain,4,0.4,9
25,BENDJILALI SOFIANE,Algeria,4,0.6,7
26,Domagoj SRSEN,United States of America,4,0.7,6
27,Nicolas BONANNO,Argentina,3,0.5,6
28,Thibaud BRIET,France,3,0.5,6
29,Radojica CEPIC,Montenegro,3,0.5,6
30,Ludovic FABREGAS,France,3,0.3,9
31,Luís Frade,Portugal,3,0.5,6
32,Magnus GULLERUD,Norway,3,0.3,9
33,ISLEM JBELI,Tunisia,3,0.4,7
34,Eric JOHANSSON,Sweden,3,0.3,9
35,bastien jean r. khermouche,Algeria,3,0.5,6
36,Pedro MARTINEZ CAMI,Argentina,3,0.5,6
37,Ali MOHAMED,Egypt,3,0.3,9
38,Henrik MØLLGAARD JENSEN,Denmark,3,0.4,8
39,Petter ØVERBY,Norway,3,0.3,9
40,Thiagus PETRUS,Brazil,3,0.5,6
41,Nicolas TOURNAT,France,3,0.3,9
42,Elliði Snær Viðarsson,Iceland,3,0.5,6
43,ABDULLAH AL-HAMMAD,Saudi Arabia,2,0.3,7
44,HAZEM BACHA,Tunisia,2,0.3,7
45,Oscar BERGENDAHL,Sweden,2,0.2,9
46,Alexandre Cavalcanti,Portugal,2,0.3,6
47,Andrew DONLIN,United States of America,2,0.3,6
48,DANIEL DUJSHEBAEV DOVICHEBAEVA,Spain,2,0.2,9
49,Domagoj Duvnjak,Croatia,2,0.3,6
50,Simon Ernst,Germany,2,0.3,8
51,Mathieu GREBILLE,France,2,0.2,9
52,JIHED JABALLAH,Tunisia,2,0.5,4
53,Tom Jansen,Netherlands,2,0.3,6
54,Hassan KADDAH,Egypt,2,0.3,8
