,player_name,team_name,,goal_assists,goals,assists,matches_played
30,abdi ayyoub,Algeria,ALG ,60,38,22,7
20,Mohamed Mohamed ,Bahrain,BRN ,54,26,28,6
22,Gustavo RODRIGUES,Brazil,BRA ,50,23,27,6
40,Leandro SEMEDO,Cape Verde,CPV ,42,21,34,13
14,Rodrigo Salinas,Chile,CHI ,53,22,31,7
8,Luka Cindric,Croatia,CRO ,62,29,33,6
21,Ivan Martinović,Croatia,CRO ,58,31,27,6
34,Igor Karačić,Croatia,CRO ,44,22,22,6
2,Mathias GIDSEL,Denmark,DEN ,102,60,42,9
7,Mikkel HANSEN,Denmark,DEN ,77,41,36,9
19,Simon Bogetoft PYTLICK,Denmark,DEN ,80,51,29,9
10,Yehia ELDERAA,Egypt,EGY ,67,35,32,9
35,Ahmed MOHAMED,Egypt,EGY ,42,20,22,9
38,Ali MOHAMED,Egypt,EGY ,62,41,21,9
3,Nedim REMILI,France,FRA ,75,35,40,9
0,Juri KNORR,Germany,GER ,105,53,52,9
26,Julian Köster,Germany,GER ,40,17,23,9
12,Máté Lékai,Hungary,HUN ,69,37,32,9
16,Egon HANUSZ,Hungary,HUN ,40,11,29,9
28,Zoltán SZITA,Hungary,HUN ,35,12,23,9
4,Gísli Þorgeir Kristjánsson,Iceland,ISL ,57,18,39,6
37,JEONGU KANG,Korea,KOR ,49,28,21,7
29,Bozo ANDJELIC,Montenegro,MNE ,34,12,22,6
33,Amine HARCHAOUI,Morocco,MAR ,51,29,22,7
15,Luc Steins,Netherlands,NED ,53,22,31,6
25,Kay Smits,Netherlands,NED ,68,44,24,6
36,Dani Baijens,Netherlands,NED ,45,24,21,6
18,Filip Kuzmanovski,North Macedonia,MKD ,66,37,29,7
1,Sander SAGOSEN,Norway,NOR ,88,39,49,9
39,Harald REINKIND,Norway,NOR ,42,21,21,9
13,Rui Silva,Portugal,POR ,52,20,32,6
27,Fábio Magalhães,Portugal,POR ,31,8,23,6
24,Miloš ORBOVIĆ,Serbia,SRB ,43,19,24,6
5,Alex DUJSHEBAEV DOVICHEBAEVA,Spain,ESP ,81,44,37,9
31,Agustin CASADO MARCELO,Spain,ESP ,33,11,22,8
32,DANIEL DUJSHEBAEV DOVICHEBAEVA,Spain,ESP ,44,22,22,9
6,Jim GOTTFRIDSSON,Sweden,SWE ,57,20,37,7
9,Felix CLAAR,Sweden,SWE ,57,25,32,9
11,Eric JOHANSSON,Sweden,SWE ,72,40,32,9
23,Albin LAGERGREN,Sweden,SWE ,46,22,24,8
17,Ian Hueter,United States of America,USA ,47,18,29,6
