,player_name,team_name,average_pts,total_pts,blue_cards,red_cards,two_mins_suspension,yellow_cards,matches_played
0,Paul Skorupa,United States of America,8.3,25,1,,,,3
1,Jovica NIKOLIĆ,Serbia,7.5,15,,1,,,2
2,Nemanja Grbovic,Montenegro,7.0,21,,1,3,,3
3,Lukas STUTZKE,Germany,6.0,12,,1,4,,2
4,BENDJILALI SOFIANE,Algeria,5.4,38,,2,4,,7
5,YOUNGJUN PARK,Korea,5.2,31,1,,3,,6
6,GHAZI BEN GHALI,Tunisia,5.0,25,,1,5,,5
7,MAHDI AL-SALEM,Saudi Arabia,4.9,34,,2,2,,7
8,Yannick GLORIEUX,Belgium,4.8,19,,1,2,,4
9,MARHOON ALMAA,Saudi Arabia,4.7,33,,2,1,1,7
10,Alexis Borges,Portugal,4.7,28,,1,6,1,6
11,Dragan PECHMALBEC,Serbia,4.3,26,,1,5,1,6
12,Patryk Walczak,Poland,4.2,25,,1,5,,6
13,Adrián Sipos,Hungary,4.1,37,,2,9,,9
14,Mijajlo MARSENIĆ,Serbia,3.8,23,,1,4,,6
15,SEUNG PARK,Korea,3.5,21,,1,3,,6
16,Stefan Zabic,Slovenia,3.3,13,,,6,1,4
17,Arkadiusz Moryto,Poland,3.2,19,,1,2,,6
18,Yassine SAMI,Qatar,3.2,19,,1,2,,6
19,Fábio Magalhães,Portugal,2.8,17,,1,1,,6
20,Mohab ABDELHAK,Egypt,2.7,24,,1,4,1,9
21,Mohamed Amine BENTALEB,Morocco,2.7,19,,1,2,,7
22,GHASSEN TOUMI,Tunisia,2.7,19,,1,2,,7
23,Samir Benghanem,Netherlands,2.5,15,,1,5,1,6
24,Patrick Hueter,United States of America,2.5,15,,,7,1,6
25,Benjamin ILLESCA,Chile,2.4,17,,1,,2,7
26,ISSAM RZIG,Tunisia,2.4,17,,1,1,,7
27,Jonathan CARLSBOGÅRD,Sweden,2.3,21,,1,3,,9
28,Quinten Colman,Belgium,2.3,14,,,7,,6
29,Ali Merza Ali,Bahrain,2.2,13,,,6,1,6
30,Youssef ALI,Qatar,2.2,13,,,6,1,6
31,Bence Bánhidi,Hungary,2.2,20,,,10,,9
32,Ýmir Örn Gíslason,Iceland,2.2,13,,,5,3,6
33,Vuk LAZOVIC,Montenegro,2.2,13,,,6,1,6
34,Miguel SÁNCHEZ MIGALLÓN NARANJO,Spain,2.2,20,,,10,,9
35,Javier FRELIJJ,Chile,2.1,15,,,7,1,7
36,JEONGU KANG,Korea,2.1,15,,1,,,7
37,Ilija ABUTOVIĆ,Serbia,2.0,12,,,6,,6
38,Nicolas BONANNO,Argentina,2.0,12,,,6,,6
39,Tomasz Gębala,Poland,2.0,10,,,4,2,5
40,Tomislav Jagurinoski,North Macedonia,2.0,2,,,1,,1
41,Tom Jansen,Netherlands,2.0,12,,,6,,6
42,Stas Jovicic,Slovenia,2.0,2,,,1,,1
43,bastien jean r. khermouche,Algeria,2.0,12,,,6,,6
44,Kristján Örn Kristjánsson,Iceland,2.0,6,,,3,,3
45,Seyedmahdi MOOSAVI,Islamic Republic of Iran,2.0,4,,,2,,2
46,Paulo MORENO,Cape Verde,2.0,12,,1,4,,6
47,AFSHIN SADEGHI ASKARI,Islamic Republic of Iran,2.0,10,,1,3,,5
48,Zvonimir Srna,Croatia,2.0,2,,,1,,1
49, Maximo Esteban Cancio Casas,Uruguay,1.9,13,,,6,1,7
50,SAID EL MALKI,Morocco,1.9,13,,,6,1,7
51,Patrik Ligetvári,Hungary,1.8,16,,1,6,,9
52,MOHAMMADREZA ORAEI,Islamic Republic of Iran,1.8,11,,,5,1,6
53,Thibaud BRIET,France,1.7,10,,,5,,6
54,Gualther FURTADO,Cape Verde,1.7,10,,,5,,6
55,Amine HARCHAOUI,Morocco,1.7,12,,,5,2,7
56,Miklós Rosta,Hungary,1.7,15,,1,,,9
57,Elliði Snær Viðarsson,Iceland,1.7,10,,,5,,6
58,Luca Witzke,Germany,1.7,15,,1,,,9
59,ANOUAR BEN ABDALLAH,Tunisia,1.6,11,,,5,1,7
60,JINYOUNG KIM,Korea,1.6,11,,,5,1,7
61,Jorge MAQUEDA PEÑO,Spain,1.6,14,,,7,,9
62,Tadej Mazej,Slovenia,1.6,8,,,4,,5
63,MEHRDAD SAMSAMI,Islamic Republic of Iran,1.6,8,,,4,,5
64,Josip ŠARAC,Croatia,1.6,8,,,4,,5
65,Blaz BLAGOTINSEK,Slovenia,1.5,9,,,4,1,6
66,Niclas Vest KIRKELØKKE,Denmark,1.5,6,,,3,,4
67,Michał Olejniczak,Poland,1.5,6,,,3,,4
68,David Savrevski,North Macedonia,1.5,9,,,4,1,6
69,Robin Schoenaker,Netherlands,1.5,9,,,4,1,6
70,Risto VUJACIC,Montenegro,1.5,9,,,4,1,6
71,ABDULRAHMAN ALMUWALLAD,Saudi Arabia,1.4,7,,,3,1,5
72,Ibrahim ELMASRY,Egypt,1.4,13,,,6,1,9
73,Sander SAGOSEN,Norway,1.4,13,,,6,1,9
74,HAIDAR AL-HASSAN,Saudi Arabia,1.3,4,,,2,,3
75,HASSAN AL-JANABI,Saudi Arabia,1.3,4,,,2,,3
76,Alexandre Cavalcanti,Portugal,1.3,8,,,4,,6
77,Miodrag CORSOVIC,Montenegro,1.3,4,,,2,,3
78,Jure DOLENEC,Slovenia,1.3,8,,,4,,6
79,Andrew DONLIN,United States of America,1.3,8,,,4,,6
