,player_name,team_name,total,average,matches_played
0,Ludovic FABREGAS,France,14,1.6,9
1,DANIEL DUJSHEBAEV DOVICHEBAEVA,Spain,10,1.1,9
2,Mathias GIDSEL,Denmark,9,1.0,9
3,Pedro MARTINEZ CAMI,Argentina,9,1.5,6
4,Nedim REMILI,France,8,0.9,9
5,Ibrahim ELMASRY,Egypt,7,0.8,9
6,Luc Steins,Netherlands,7,1.2,6
7,Domagoj Duvnjak,Croatia,6,1.0,6
8,Sander SAGOSEN,Norway,6,0.7,9
9,Magnus SAUGSTRUP Jensen,Denmark,6,0.8,8
10,Mohamed Abdulredha,Bahrain,5,0.8,6
11,Sebastian BARTHOLD,Norway,5,0.6,9
12,Samir Benghanem,Netherlands,5,0.8,6
13,Radojica CEPIC,Montenegro,5,0.8,6
14,Seif ELDERAA,Egypt,5,0.6,9
15,Karim HENDAWY,Egypt,5,0.6,8
16,Ivan Martinović,Croatia,5,0.8,6
17,Kauldi ODRIOZOLA YEREGUI,Spain,5,0.6,9
18,Magnus ABELVIK RØD,Norway,4,0.4,9
19,Francisco Andres Ahumada Collado,Chile,4,0.6,7
20,ABDULLAH AL-HAMMAD,Saudi Arabia,4,0.6,7
21,OUSSAMA BOUGHANMI,Tunisia,4,0.6,7
22,Agustin CASADO MARCELO,Spain,4,0.5,8
23,Luka Cindric,Croatia,4,0.7,6
24,Quinten Colman,Belgium,4,0.7,6
25,Niclas EKBERG,Sweden,4,0.4,9
26,Maciej Gębala,Poland,4,0.7,6
27,Igor Gjorgiev,North Macedonia,4,0.6,7
28,Johannes GOLLA,Germany,4,0.4,9
29,Patrick GROETZKI,Germany,4,0.4,9
30,Amine HARCHAOUI,Morocco,4,0.6,7
31,Mehdi ISMAILI ALAOUI,Morocco,4,1.0,4
32,Julian Köster,Germany,4,0.4,9
33,Nenad Kosteski,North Macedonia,4,0.6,7
34,Mohsen MAHMOUD,Egypt,4,0.4,9
35,Domen Makuc,Slovenia,4,0.7,6
36,Jorge MAQUEDA PEÑO,Spain,4,0.4,9
37,Mohamed Mohamed ,Bahrain,4,0.7,6
38,Arkadiusz Moryto,Poland,4,0.7,6
39,Lucas Dario MOSCARIELLO,Argentina,4,0.7,6
40,Željko MUSA,Croatia,4,0.7,6
41,Dylan NAHI,France,4,0.4,9
42,Christian O`SULLIVAN,Norway,4,0.4,9
43,Daniel PETTERSSON,Sweden,4,0.4,9
44,REZZOUKI REIDA,Morocco,4,0.7,6
45,Josip ŠARAC,Croatia,4,0.8,5
46,Kay Smits,Netherlands,4,0.7,6
47,Domagoj SRSEN,United States of America,4,0.7,6
48,Branko VUJOVIC,Montenegro,4,0.7,6
49,Milos Vujovic,Montenegro,4,0.7,6
50,Ilija ABUTOVIĆ,Serbia,3,0.5,6
51,Mohamed ALY,Egypt,3,1.0,3
52,abdi ayyoub,Algeria,3,0.4,7
53,Dani Baijens,Netherlands,3,0.5,6
54,Bence Bánhidi,Hungary,3,0.3,9
55,Kristian BJØRNSEN,Norway,3,0.3,9
56,Thibaud BRIET,France,3,0.5,6
57, Maximo Esteban Cancio Casas,Uruguay,3,0.4,7
58,Jonathan CARLSBOGÅRD,Sweden,3,0.3,9
59,Rune DAHMKE,Germany,3,0.3,9
60,Michał Daszek ,Poland,3,0.5,6
61,Omar ELWAKIL,Egypt,3,0.3,9
62,Angel FERNANDEZ PEREZ,Spain,3,0.3,9
63,Tomasz Gębala,Poland,3,0.6,5
64,Jim GOTTFRIDSSON,Sweden,3,0.4,7
65,Kevin Maagerø GULLIKSEN,Norway,3,0.3,9
66,daoud hichem,Algeria,3,0.6,5
67,Vanja ILIĆ,Serbia,3,0.5,6
68,Emil M. JAKOBSEN,Denmark,3,0.3,9
69,Piotr Jędraszczyk,Poland,3,0.5,6
70,JEONGU KANG,Korea,3,0.4,7
71,Luka KARABATIC,France,3,0.4,7
72,Juri KNORR,Germany,3,0.3,9
73,Raphael Kötters,Belgium,3,0.5,6
74,Przemysław Krajewski,Poland,3,0.5,6
75,Magnus LANDIN JACOBSEN,Denmark,3,0.3,9
76,HYEONSIK LEE,Korea,3,0.5,6
77,Kentin MAHE,France,3,0.3,9
78,Ramiro MARTINEZ,Argentina,3,0.5,6
79,Aron PÁLMARSSON,Iceland,3,0.8,4
80,Simon Bogetoft PYTLICK,Denmark,3,0.3,9
81,Pedro Rodriguez Alvarez,Hungary,3,0.3,9
82,Akram SAAD,Egypt,3,0.3,9
83,Mohammad SANAD,Egypt,3,0.3,9
84,Bobby Schagen,Netherlands,3,0.6,5
85,Leandro SEMEDO,Cape Verde,3,0.5,6
86,Mohamed SHEBIB,Egypt,3,0.4,8
87,Dino SLAVIC,Croatia,3,0.8,4
88,Ferran SOLE SALA,Spain,3,0.3,9
89,Johan Á Plogv HANSEN,Denmark,2,0.2,9
90,Mohab ABDELHAK,Egypt,2,0.2,9
91,MAHDI AL-SALEM,Saudi Arabia,2,0.3,7
92,Youssef ALI,Qatar,2,0.3,6
93,Husain Alsayyad,Bahrain,2,0.3,6
94,Bozo ANDJELIC,Montenegro,2,0.3,6
95,Edmilson Araújo,Cape Verde,2,0.3,6
96,HAZEM BACHA,Tunisia,2,0.3,7
97,Bartłomiej Bis,Poland,2,0.4,5
98,Blaz BLAGOTINSEK,Slovenia,2,0.3,6
99,Nicolas BONANNO,Argentina,2,0.3,6
100,Alexis Borges,Portugal,2,0.3,6
101,Uroš BORZAŠ,Serbia,2,0.3,6
102,Rafael CAPOTE,Qatar,2,0.7,3
103,Sebastian CEBALLOS,Chile,2,0.3,7
104,Nejc CEHTE,Slovenia,2,0.3,6
105,Andrew DONLIN,United States of America,2,0.3,6
106,Bjarki Már ELÍSSON,Iceland,2,0.3,6
107,Daniel FERNANDEZ JIMENEZ,Spain,2,0.4,5
108,Luís Frade,Portugal,2,0.3,6
109,Javier FRELIJJ,Chile,2,0.3,7
110,Admilson Estaliny Furtado,Cape Verde,2,0.3,6
111,Filip GLAVAS,Croatia,2,0.3,6
112,Mathieu GREBILLE,France,2,0.2,9
113,Sigvaldi Björn GUDJONSSON,Iceland,2,0.3,6
114,Viktor Gísli HALLGRIMSSON,Iceland,2,0.3,6
115,Blaz Janc,Slovenia,2,0.4,5
116,DONGHYUN JANG,Korea,2,0.3,7
117,Marin Jelinić,Croatia,2,0.3,6
118,Eric JOHANSSON,Sweden,2,0.2,9
