,team_name,average_pts,total_pts,blue_cards,red_cards,two_mins_suspension,yellow_cards,matches_played
0,Norway,5.2,47,,,22,3,9
1,Denmark,6.1,55,,,25,5,9
2,Egypt,6.1,55,,1,18,4,9
3,France,6.2,56,,,27,2,9
4,Bahrain,6.5,39,,,19,1,6
5,Uruguay,6.6,46,,,21,4,7
6,Brazil,7.2,43,,,19,5,6
7,Spain,7.3,66,,,31,4,9
8,North Macedonia,7.6,53,,,23,7,7
9,Sweden,7.7,69,,1,25,4,9
10,Argentina,7.8,47,,,22,3,6
11,Germany,8.0,72,,2,24,5,9
12,Iceland,8.5,51,,,23,5,6
13,Chile,9.0,63,,1,21,6,7
14,Slovenia,9.5,57,,,27,3,6
15,Cape Verde,10.0,60,,1,28,,6
16,Belgium,10.2,61,,1,22,2,6
17,Croatia,10.2,61,,,27,7,6
18,Qatar,10.3,62,,1,22,3,6
19,Morocco,10.4,73,,1,26,6,7
20,Montenegro,10.7,64,,1,23,3,6
21,Netherlands,10.8,65,,1,28,5,6
22,Algeria,11.3,79,,2,23,3,7
23,Islamic Republic of Iran,11.5,69,,1,30,5,6
24,Poland,12.5,75,,2,21,3,6
25,Portugal,12.7,76,,2,21,4,6
26,Hungary,13.4,121,,4,38,7,9
27,Serbia,15.7,94,,3,23,3,6
28,United States of America,15.7,94,2,,21,2,6
29,Tunisia,15.9,111,,3,29,8,7
30,Saudi Arabia,17.0,119,,4,26,7,7
31,Korea,17.1,120,1,2,29,7,7
