,player_name,team_name,efficiency,saves,shots,matches_played
0,Tobias THULIN,Sweden,39,39,100,7
1,Rémi DESBONNET,France,38,36,95,9
2,Torbjørn BERGERUD,Norway,37,81,220,9
4,Andreas WOLFF,Germany,37,112,305,9
3,Mateusz Kornecki,Poland,37,30,82,3
5,Andreas PALICKA,Sweden,36,72,202,7
6,Abdelrahman HOMAYED,Egypt,35,31,89,7
7,Niklas LANDIN JACOBSEN,Denmark,34,88,256,9
8,Urban LESJAK,Slovenia,34,50,146,6
10,Kevin MØLLER,Denmark,33,27,81,9
9,Miguel Ferreira,Portugal,33,51,154,6
11,ASIL NAMLI,Tunisia,33,34,104,6
12,Mate Šunjić,Croatia,33,29,89,4
17,Dejan Milosavljev,Serbia,31,34,108,4
18,Gonzalo PEREZ DE VARGAS MORENO,Spain,31,73,232,9
20,Leonardo TERÇARIOL,Brazil,31,45,144,6
19,Kristian SÆVERÅS,Norway,31,40,130,9
15,MEHDI SADRI HARBAOUI,Tunisia,31,23,75,4
14,Manuel GASPAR,Portugal,31,19,62,6
16,Karim HENDAWY,Egypt,31,64,209,8
13,MOHAMMAD AL-SALEM,Saudi Arabia,31,52,170,5
22,Bart Ravensbergen,Netherlands,30,63,207,6
21,Vincent GERARD,France,30,72,237,9
23,Joze Baznik,Slovenia,29,20,68,6
24,Nebojsa Simic,Montenegro,29,56,194,6
25,Mohamed ALI,Bahrain,28,52,183,6
28,Adam Morawski,Poland,28,29,104,6
27,CHANGWOO LEE,Korea,28,20,72,4
29,MOHAMMAD SIAVOSHISHAHENAYATI,Islamic Republic of Iran,28,52,188,6
26,Viktor Gísli HALLGRIMSSON,Iceland,28,37,134,6
30,Luis Felipe Navarrete Gambino,Uruguay,27,42,155,7
32,Anadin Suljakovic,Qatar,27,13,48,4
31,Nicolas Aaron Robinson,United States of America,27,18,67,3
34,Jef Lettens,Belgium,26,59,224,6
36,Dino SLAVIC,Croatia,26,20,76,4
35,Pal Merkovszky,United States of America,26,31,118,6
37,Márton SZEKELY,Hungary,26,48,185,9
33,Rodrigo CORRALES RODAL,Spain,26,28,109,9
38,Martin Tomovski ,North Macedonia,26,35,137,7
42,Nikola MATOVIC ,Montenegro,25,14,55,6
40,Khalifa GHEDBANE,Algeria,25,46,185,7
41,Björgvin Páll Gústavsson,Iceland,25,27,109,6
39,Felipe Garcia,Chile,25,37,151,7
45,Nikola Mitrevski,North Macedonia,24,35,144,7
44,DONGUK KIM,Korea,24,44,182,7
43,YASSINE BELKAIED ,Tunisia,24,20,85,4
50,Roland Mikler,Hungary,23,42,179,9
49,Bilal LEPENICA ,Qatar,23,34,147,6
46,Vladimir CUPARA,Serbia,23,20,87,6
47,Rangel DA ROSA,Brazil,23,21,93,6
48,ALAE LAAROUSSI,Morocco,23,23,102,7
55,JAMAL OUAALI,Morocco,22,39,175,7
54,Rene Oliva,Chile,22,24,109,7
51,Edmilson GONÇALVES,Cape Verde,22,37,170,6
53,Leonel Carlos Sergio MACIEL,Argentina,22,27,125,6
52,Dominik Kuzmanović,Croatia,22,14,65,4
57,AMRO MOHAMMED,Saudi Arabia,21,19,89,7
56,Felipe Alfonso GONZALEZ ALLOZA,Uruguay,21,33,158,7
58,Luís Almeida,Cape Verde,19,10,53,6
59,yahia ZEMOUCHI,Algeria,19,20,108,7
