,player_name,team_name,abbr,goals,shots,efficiency,total_7m_shot,7m_goal,7m_shot,matches_played,,
467,Khalifa GHEDBANE,Algeria,ALG ,1,1,100,,0,0,7,,
368,nouredine HELLAL,Algeria,ALG ,5,6,83,,0,0,7,,
176,bastien jean r. khermouche,Algeria,ALG ,15,19,79,,0,0,6,,
235,DJEDID YACINE,Algeria,ALG ,12,17,71,1-Jan,1,1,7,,
287,BENDJILALI SOFIANE,Algeria,ALG ,9,13,69,,0,0,7,,
166,daoud hichem,Algeria,ALG ,16,24,67,9-Jun,6,9,5,,
182,Rahim ABDELKADER,Algeria,ALG ,14,21,67,,0,0,7,,
372,Hichem KAABECHE,Algeria,ALG ,5,8,63,,0,0,6,,
15,abdi ayyoub,Algeria,ALG ,38,66,58,7-Jul,7,7,7,,
245,Mokhtar KOURI,Algeria,ALG ,11,21,52,,0,0,7,,
159,reda arib,Algeria,ALG ,16,32,50,,0,0,6,,
216,zohir naim,Algeria,ALG ,13,28,46,,0,0,7,,
410,BOUNAB HANI ABDERRAFIK,Algeria,ALG ,3,7,43,,0,0,5,,
217,BENHALIMA NORI SELIM,Algeria,ALG ,13,31,42,,0,0,6,,
380,ABROUS RAYANE,Algeria,ALG ,5,13,38,,0,0,3,,
381,DOUCHET SAMI,Algeria,ALG ,5,13,38,,0,0,7,,
443,wail melazem,Algeria,ALG ,2,6,33,,0,0,5,,
437,Franco Daniel GAVIDIA,Argentina,ARG ,2,2,100,,0,0,1,,
455,SANTIAGO BARCELO GARCIA,Argentina,ARG ,1,1,100,,0,0,4,,
334,FACUNDO NICOLAS CANGIANI,Argentina,ARG ,6,8,75,,0,0,6,,
435,GONZALO CARRO CASTRO,Argentina,ARG ,2,3,67,,0,0,6,,
141,Ignacio PIZARRO,Argentina,ARG ,18,27,67,11-Oct,10,11,5,,
148,Pablo Ariel SIMONET,Argentina,ARG ,18,27,67,3-Feb,2,3,6,,
169,Ramiro MARTINEZ,Argentina,ARG ,16,24,67,2-Feb,2,2,6,,
191,Francisco Andres LOMBARDI,Argentina,ARG ,14,22,64,3-Feb,2,3,6,,
377,Lucas Dario MOSCARIELLO,Argentina,ARG ,5,8,63,,0,0,6,,
229,Pedro MARTINEZ CAMI,Argentina,ARG ,12,23,52,,0,0,6,,
454,Juan Manuel BAR,Argentina,ARG ,1,2,50,,0,0,6,,
53,Diego Esteban SIMONET,Argentina,ARG ,28,57,49,,0,0,6,,
430,Pablo VAINSTEIN,Argentina,ARG ,3,7,43,,0,0,6,,
326,Federico PIZARRO,Argentina,ARG ,7,17,41,,0,0,5,,
306,James Lewis PARKER,Argentina,ARG ,8,21,38,,0,0,6,,
458,FABRIZIO CASANOVA,Argentina,ARG ,1,3,33,,0,0,3,,
163,Ali Eid,Bahrain,BRN ,16,20,80,4-Mar,3,4,6,,
94,Ahmed Fadhul,Bahrain,BRN ,21,28,75,,0,0,6,,
384,Hasan Alsamahiji,Bahrain,BRN ,4,6,67,,0,0,5,,
313,Mohamed Ali,Bahrain,BRN ,7,11,64,,0,0,6,,
66,Ali Merza Ali,Bahrain,BRN ,25,42,60,,0,0,6,,
63,Mohamed Mohamed ,Bahrain,BRN ,26,44,59,,0,0,6,,
196,Qasim Qambar,Bahrain,BRN ,14,24,58,11-Jun,6,11,6,,
36,Husain Alsayyad,Bahrain,BRN ,30,54,56,7-Jun,6,7,6,,9-Aug
356,Hasan Ali,Bahrain,BRN ,5,10,50,,0,0,5,,
331,Mujtaba Alzaimoor,Bahrain,BRN ,6,12,50,,0,0,6,,
347,Komail Mahfoodh,Bahrain,BRN ,6,15,40,,0,0,6,,
393,Mahmood MOHAMED,Bahrain,BRN ,4,10,40,,0,0,6,,
200,Yves Vancosen,Belgium,BEL ,14,15,93,,0,0,6,,
247,Simon Ooms,Belgium,BEL ,11,14,79,,0,0,6,,
202,Nick BRAUN,Belgium,BEL ,13,18,72,,0,0,6,,
257,Yannick GLORIEUX,Belgium,BEL ,10,14,71,,0,0,4,,
51,Raphael Kötters,Belgium,BEL ,28,45,62,,0,0,6,,
231,Tom Robyns,Belgium,BEL ,12,20,60,,0,0,6,,
115,Arber QERIMI,Belgium,BEL ,20,34,59,13-Sep,9,13,6,,
199,Serge Spooren,Belgium,BEL ,14,26,54,,0,0,6,,
373,Bartosz KEDZIORA,Belgium,BEL ,5,10,50,,0,0,6,,
238,Pierre Brixhe,Belgium,BEL ,11,22,50,,0,0,5,,
225,Sébastien Danesi,Belgium,BEL ,12,25,48,,0,0,4,,
362,Quinten Colman,Belgium,BEL ,5,12,42,,0,0,6,,
338,Jeroen De Beule,Belgium,BEL ,6,17,35,,0,0,6,,
447,Kobe Serras,Belgium,BEL ,2,7,29,,0,0,6,,
448,Matheus SILVA,Brazil,BRA ,2,2,100,,0,0,6,,
22,Jean-Pierre Dupoux,Brazil,BRA ,35,43,81,12-Nov,11,12,6,,
208,Rudolph HACKBARTH,Brazil,BRA ,13,17,76,7-Jun,6,7,6,,
130,João Pedro SILVA,Brazil,BRA ,19,26,73,,0,0,6,,
135,Fabio CHIUFFA,Brazil,BRA ,18,25,72,1-Jan,1,1,6,,
192,Rogerio MORAES,Brazil,BRA ,14,20,70,,0,0,6,,
82,Gustavo RODRIGUES,Brazil,BRA ,23,45,51,,0,0,6,,
329,Guilherme TORRIANI,Brazil,BRA ,7,14,50,,0,0,6,,
156,Hugo Bryan Monta da Silva,Brazil,BRA ,17,34,50,,0,0,6,,
416,Oswaldo MAESTRO,Brazil,BRA ,3,6,50,,0,0,6,,
354,LEONARDO ABRAHAO SILVEIRA,Brazil,BRA ,5,11,45,,0,0,6,,
421,Thiagus PETRUS,Brazil,BRA ,3,7,43,,0,0,6,,
282,Raul NANTES,Brazil,BRA ,9,24,38,,0,0,6,,
379,Thiago PONCIANO,Brazil,BRA ,5,16,31,,0,0,6,,
468,Edmilson GONÇALVES,Cape Verde,CPV ,1,1,100,,0,0,6,,
460,Gilson CORREIA,Cape Verde,CPV ,1,1,100,,0,0,6,,
485,Ivo Santos,Cape Verde,CPV ,1,1,100,1-Jan,1,1,6,,
319,Admilson Estaliny Furtado,Cape Verde,CPV ,7,8,88,,0,0,6,,
214,Felisberto LANDIM,Cape Verde,CPV ,13,15,87,,0,0,6,,
69,Paulo MORENO,Cape Verde,CPV ,25,31,81,,0,0,6,,
349,Nelson Pina ,Cape Verde,CPV ,6,8,75,,0,0,6,,
386,Flávio Fortes,Cape Verde,CPV ,4,6,67,,0,0,6,,
165,Gualther FURTADO,Cape Verde,CPV ,16,24,67,,0,0,6,,
47,Délcio PINA,Cape Verde,CPV ,29,53,55,8-Jul,7,8,6,,
76,Bruno LANDIM,Cape Verde,CPV ,24,45,53,7-May,5,7,6,,
222,Edmilson Araújo,Cape Verde,CPV ,12,24,50,,0,0,6,,
237,Paulo Andrade,Cape Verde,CPV ,11,22,50,,0,0,6,,
309,Elledy SEMEDO,Cape Verde,CPV ,8,18,44,3-Feb,2,3,6,,
